Model Name,Validation Accuracy,Test Accuracy,Test Macro F1,Training Time (min)
EfficientNetB0,0.5938864350318909,0.5708154506437768,0.5677451279489187,21.3589210939
EfficientNetB1,0.5633187890052795,0.5407725321888412,0.5336506638804415,18.49752851221667
EfficientNetB2,0.6157205104827881,0.5836909871244635,0.5749514478806408,22.99671039153333
EfficientNetB3,0.6550218462944031,0.5686695278969958,0.5636112978439073,28.12381454974999
EfficientNetB4,0.6288209557533264,0.5944206008583691,0.5815451755154821,45.189193920366655
EfficientNetB5,0.6331877708435059,0.5665236051502146,0.5571165784692813,45.66196287264999
EfficientNetB6,0.663755476474762,0.575107296137339,0.5698001658691142,113.97511674451665
EfficientNetB7,0.6375545859336853,0.5901287553648069,0.5931400950613795,96.42257772243333
ResNet50,0.6375545859336853,0.6051502145922747,0.6046252079935546,11.124601915316665
ResNet101,0.5982532501220703,0.5643776824034334,0.559668651497807,6.849891899216678
DenseNet121,0.5807860493659973,0.4892703862660944,0.48506806987769685,10.490409835149997
DenseNet201,0.6113536953926086,0.5944206008583691,0.5895834908118143,17.51049053521668
InceptionV3,0.6331877708435059,0.5793991416309013,0.5738772750266614,16.98704390933332
InceptionResNetV2,0.6506550312042236,0.6051502145922747,0.609324811537642,41.76348086984999
MobileNetV2,0.6200873255729675,0.5321888412017167,0.525445852533541,14.175361479900008
Twins-SVT-S,0.5764192139737991,0.5128755364806867,0.49519216653243997,27.784377626816664
PVTv2-B2,0.5633187772925764,0.5515021459227468,0.5394601989472951,22.89237707171663
Custom-ENB5 (reference),0.8952,0.8948,0.9,96.2
