model,framework,family,input_size,params_total,epochs_run,best_epoch,stopped_early,best_val_loss,val_accuracy_at_best,max_val_accuracy,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_macro,test_recall_macro,test_f1_macro,test_auc_macro,test_auc_micro,fit_time_min,epoch1_s,median_epoch_s,time_to_best_min,test_accuracy_6.1_run
EfficientNetB0,Keras,EfficientNet,224,4055976,129,119,True,0.9938496351242065,0.5938864350318909,0.6157205104827881,0.5708154506437768,0.5811979257900366,0.5708154506437768,0.5624508043044419,0.5895417476317306,0.5718948674661757,0.5677451279489187,0.860747648626272,0.8583829136657519,21.3589210939,42.29283419799981,9.68189979250019,19.758189038183346,0.5987
EfficientNetB1,Keras,EfficientNet,240,6581644,102,92,True,1.0088609457015991,0.5633187890052795,0.5807860493659973,0.5407725321888412,0.5677338536865305,0.5407725321888412,0.5290024508754503,0.5781152204836415,0.5386417091487224,0.5336506638804415,0.8534391599704712,0.8386862439904954,18.49752851221667,52.0268620490001,10.471410356999968,16.774636771516686,
EfficientNetB2,Keras,EfficientNet,260,7775614,116,106,True,0.9124359488487244,0.6157205104827881,0.6419214010238647,0.5836909871244635,0.5991453271762485,0.5836909871244635,0.5731139614246535,0.6040592299752587,0.5827891078540987,0.5749514478806408,0.874971668878001,0.86713871594614,22.99671039153333,55.4590193719996,11.413781310000559,21.0736563874666,
EfficientNetB3,Keras,EfficientNet,300,10791220,117,107,True,0.9641661643981934,0.6550218462944031,0.6550218462944031,0.5686695278969958,0.5845779204077525,0.5686695278969958,0.5625766754256843,0.5900321270829559,0.564756575055816,0.5636112978439073,0.8725180455987088,0.8631893661699422,28.12381454974999,62.381784280999454,13.826286815999538,25.706814460716746,
EfficientNetB4,Keras,EfficientNet,380,17682788,131,121,True,0.9146379828453064,0.6288209557533264,0.6331877708435059,0.5944206008583691,0.5887690794053179,0.5944206008583691,0.5829097335378361,0.5906493679272999,0.5893238392790195,0.5815451755154821,0.8799057224030669,0.874304647350292,45.189193920366655,80.17051677400013,20.16627702200003,41.78856360165003,0.6459
EfficientNetB5,Keras,EfficientNet,456,28523772,97,87,True,0.9942301511764526,0.6331877708435059,0.6419214010238647,0.5665236051502146,0.5844766230495095,0.5665236051502146,0.5579331219342993,0.5881618214402808,0.5605797097859841,0.5571165784692813,0.8661390614500937,0.8495045036747776,45.66196287264999,101.27361200500127,27.447823155499464,41.09874906475003,0.6223
EfficientNetB6,Keras,EfficientNet,528,40971668,190,180,True,0.9880319237709045,0.663755476474762,0.663755476474762,0.575107296137339,0.5929797296106382,0.575107296137339,0.5707817557992068,0.5957979954860626,0.5699972590947258,0.5698001658691142,0.8718015708764459,0.8662067822210762,113.97511674451665,121.11516341599781,35.360737537001114,108.13481959699972,
EfficientNetB7,Keras,EfficientNet,600,64110492,120,110,True,1.0011463165283203,0.6375545859336853,0.6506550312042236,0.5901287553648069,0.6302801310351295,0.5901287553648069,0.5922641389546697,0.6303743907402445,0.5898336012195587,0.5931400950613795,0.8651568708678733,0.8619229954502754,96.42257772243333,140.01186310799997,45.031510674999936,87.42867364406668,
ResNet50,Keras,ResNet,224,23597957,67,57,True,0.853421688079834,0.6375545859336853,0.6855894923210144,0.6051502145922747,0.6297248959768796,0.6051502145922747,0.6005699642451066,0.6365551081696775,0.6064301978155845,0.6046252079935546,0.8781053667543051,0.876570299692387,11.124601915316665,19.022405453999454,9.795882597501077,9.47096581616667,0.6009
ResNet101,Keras,ResNet,224,42668421,40,30,True,0.9646689891815186,0.5982532501220703,0.5982532501220703,0.5643776824034334,0.5814830112125353,0.5643776824034334,0.556109652292477,0.5882831690359617,0.5632647381170377,0.559668651497807,0.8605695130060539,0.8598726261305237,6.849891899216678,22.239842130000397,9.93682636199992,5.208378100783375,0.6009
